PID,Start,End,Waiting,Turnaround
1,0,3,6,12
2,3,6,13,17
3,6,9,21,29
1,9,12,6,12
4,12,15,7,10
5,15,18,22,32
2,18,19,13,17
6,19,21,11,13
3,21,24,21,29
7,24,27,17,22
5,27,30,22,32
3,30,32,21,29
7,32,34,17,22
5,34,37,22,32
5,37,38,22,32
